,customerid,gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges,churn
26,6467-chfzw,male,0,1,1,47,1,yes,fiber_optic,no,yes,no,no,yes,yes,month-to-month,1,electronic_check,99.35,4749.15,1
27,8665-utdhz,male,0,1,1,1,0,no_phone_service,dsl,no,yes,no,no,no,no,month-to-month,0,electronic_check,30.2,30.2,1
28,5248-ygijn,male,0,1,0,72,1,yes,dsl,yes,yes,yes,yes,yes,yes,two_year,1,credit_card_(automatic),90.25,6369.45,0
29,8773-hhuoz,female,0,0,1,17,1,no,dsl,no,no,no,no,yes,yes,month-to-month,1,mailed_check,64.7,1093.1,1
30,3841-nfecx,female,1,1,0,71,1,yes,fiber_optic,yes,yes,yes,yes,no,no,two_year,1,credit_card_(automatic),96.35,6766.95,0
31,4929-xihvw,male,1,1,0,2,1,no,fiber_optic,no,no,yes,no,yes,yes,month-to-month,1,credit_card_(automatic),95.5,181.65,0
32,6827-ieauq,female,0,1,1,27,1,no,dsl,yes,yes,yes,yes,no,no,one_year,0,mailed_check,66.15,1874.45,0
33,7310-egvhz,male,0,0,0,1,1,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,0,bank_transfer_(automatic),20.2,20.2,0
34,3413-bmnze,male,1,0,0,1,1,no,dsl,no,no,no,no,no,no,month-to-month,0,bank_transfer_(automatic),45.25,45.25,0
35,6234-raapl,female,0,1,1,72,1,yes,fiber_optic,yes,yes,no,yes,yes,no,two_year,0,bank_transfer_(automatic),99.9,7251.7,0
36,6047-yhpvi,male,0,0,0,5,1,no,fiber_optic,no,no,no,no,no,no,month-to-month,1,electronic_check,69.7,316.9,1
37,6572-adkrs,female,0,0,0,46,1,no,fiber_optic,no,no,yes,no,no,no,month-to-month,1,credit_card_(automatic),74.8,3548.3,0
38,5380-wjkov,male,0,0,0,34,1,yes,fiber_optic,no,yes,yes,no,yes,yes,month-to-month,1,electronic_check,106.35,3549.25,1
39,8168-uqwwf,female,0,0,0,11,1,yes,fiber_optic,no,no,yes,no,yes,yes,month-to-month,1,bank_transfer_(automatic),97.85,1105.4,1
40,8865-tnmnx,male,0,1,1,10,1,no,dsl,no,yes,no,no,no,no,one_year,0,mailed_check,49.55,475.7,0
41,9489-dedvp,female,0,1,1,70,1,yes,dsl,yes,yes,no,no,yes,no,two_year,1,credit_card_(automatic),69.2,4872.35,0
42,9867-jczsp,female,0,1,1,17,1,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,0,mailed_check,20.75,418.25,0
43,4671-vjlcl,female,0,0,0,63,1,yes,dsl,yes,yes,yes,yes,yes,no,two_year,1,credit_card_(automatic),79.85,4861.45,0
44,4080-iiard,female,0,1,0,13,1,yes,dsl,yes,yes,no,yes,yes,no,month-to-month,1,electronic_check,76.2,981.45,0
45,3714-ntnfo,female,0,0,0,49,1,yes,fiber_optic,no,no,no,no,no,yes,month-to-month,1,electronic_check,84.5,3906.7,0
46,5948-ujzlf,male,0,0,0,2,1,no,dsl,no,yes,no,no,no,no,month-to-month,0,mailed_check,49.25,97.0,0
47,7760-oypdy,female,0,0,0,2,1,no,fiber_optic,no,no,no,no,yes,no,month-to-month,1,electronic_check,80.65,144.15,1
48,7639-liayi,male,0,0,0,52,1,yes,dsl,yes,no,no,yes,yes,yes,two_year,1,credit_card_(automatic),79.75,4217.8,0
49,2954-pibko,female,0,1,1,69,1,yes,dsl,yes,no,yes,yes,no,no,two_year,1,credit_card_(automatic),64.15,4254.1,0
50,8012-soudq,female,1,0,0,43,1,yes,fiber_optic,no,yes,no,no,yes,no,month-to-month,1,electronic_check,90.25,3838.75,0
51,9420-lojkx,female,0,0,0,15,1,no,fiber_optic,yes,yes,no,no,yes,yes,month-to-month,1,credit_card_(automatic),99.1,1426.4,1
52,6575-suvoi,female,1,1,0,25,1,yes,dsl,yes,no,no,yes,yes,no,month-to-month,1,credit_card_(automatic),69.5,1752.65,0
53,7495-ookfy,female,1,1,0,8,1,yes,fiber_optic,no,yes,no,no,no,no,month-to-month,1,credit_card_(automatic),80.65,633.3,1
54,4667-qonea,female,1,1,1,60,1,no,dsl,yes,yes,yes,yes,no,yes,one_year,1,credit_card_(automatic),74.85,4456.35,0
55,1658-bygoy,male,1,0,0,18,1,yes,fiber_optic,no,no,no,no,yes,yes,month-to-month,1,electronic_check,95.45,1752.55,1
56,8769-kktph,female,0,1,1,63,1,yes,fiber_optic,yes,no,no,no,yes,yes,one_year,1,credit_card_(automatic),99.65,6311.2,0
57,5067-xjqfu,male,1,1,1,66,1,yes,fiber_optic,no,yes,yes,yes,yes,yes,one_year,1,electronic_check,108.45,7076.35,0
58,3957-sqxml,female,0,1,1,34,1,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,0,credit_card_(automatic),24.95,894.3,0
59,5954-bdfsg,female,0,0,0,72,1,yes,fiber_optic,no,no,yes,yes,yes,yes,two_year,1,credit_card_(automatic),107.5,7853.7,0
60,0434-csfon,female,0,1,0,47,1,yes,fiber_optic,no,no,yes,no,yes,yes,month-to-month,1,electronic_check,100.5,4707.1,0
61,1215-figmp,male,0,0,0,60,1,yes,fiber_optic,no,yes,no,no,yes,no,month-to-month,1,bank_transfer_(automatic),89.9,5450.7,0
62,0526-sxdjp,male,0,1,0,72,0,no_phone_service,dsl,yes,yes,yes,no,no,no,two_year,0,bank_transfer_(automatic),42.1,2962.0,0
63,0557-askvu,female,0,1,1,18,1,no,dsl,no,no,yes,yes,no,no,one_year,1,credit_card_(automatic),54.4,957.1,0
64,5698-bqjoh,female,0,0,0,9,1,yes,fiber_optic,no,no,no,no,yes,yes,month-to-month,0,electronic_check,94.4,857.25,1
65,5122-cyfxa,female,0,0,0,3,1,no,dsl,no,yes,no,yes,yes,yes,month-to-month,1,electronic_check,75.3,244.1,0
66,8627-zygsz,male,0,1,0,47,1,yes,fiber_optic,no,yes,no,no,no,no,one_year,1,electronic_check,78.9,3650.35,0
67,3410-yoqbq,female,0,0,0,31,1,no,dsl,no,yes,yes,yes,yes,yes,two_year,0,mailed_check,79.2,2497.2,0
68,3170-nmyvv,female,0,1,1,50,1,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,0,bank_transfer_(automatic),20.15,930.9,0
69,7410-oiedu,male,0,0,0,10,1,no,fiber_optic,yes,no,yes,no,no,no,month-to-month,1,mailed_check,79.85,887.35,0
70,2273-qckxa,male,0,0,0,1,1,no,dsl,no,no,no,yes,no,no,month-to-month,0,mailed_check,49.05,49.05,0
71,0731-ebjqb,female,0,1,1,52,1,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,1,electronic_check,20.4,1090.65,0
72,1891-qrqsa,male,1,1,1,64,1,yes,fiber_optic,yes,no,yes,yes,yes,yes,two_year,1,bank_transfer_(automatic),111.6,7099.0,0
73,8028-pnxhq,male,0,1,1,62,1,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,1,bank_transfer_(automatic),24.25,1424.6,0
74,5630-ahzil,female,0,0,1,3,1,no,dsl,yes,no,no,yes,no,yes,month-to-month,1,bank_transfer_(automatic),64.5,177.4,0
75,2673-cxqeu,female,1,0,0,56,1,yes,fiber_optic,yes,yes,yes,no,yes,yes,one_year,0,electronic_check,110.5,6139.5,0
76,6416-jnvrk,female,0,0,0,46,1,no,dsl,no,no,no,no,no,yes,one_year,0,credit_card_(automatic),55.65,2688.85,0
77,5590-zskrv,female,0,1,1,8,1,no,dsl,yes,yes,no,no,no,no,month-to-month,0,mailed_check,54.65,482.25,0
78,0191-zhskz,male,1,0,0,30,1,no,dsl,yes,yes,no,no,yes,yes,month-to-month,1,electronic_check,74.75,2111.3,0
79,3887-pbqao,female,0,1,1,45,1,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,1,credit_card_(automatic),25.9,1216.6,0
80,5919-tmrgd,female,0,0,1,1,1,no,fiber_optic,no,no,no,no,yes,no,month-to-month,1,electronic_check,79.35,79.35,1
81,8108-uxrqn,female,0,1,1,11,0,no_phone_service,dsl,yes,no,no,no,yes,yes,month-to-month,0,electronic_check,50.55,565.35,0
82,9191-myqkx,female,0,1,0,7,1,no,fiber_optic,no,no,yes,no,no,no,month-to-month,1,bank_transfer_(automatic),75.15,496.9,1
83,9919-ylnng,female,0,0,0,42,1,no,fiber_optic,no,yes,yes,yes,yes,yes,month-to-month,1,bank_transfer_(automatic),103.8,4327.5,0
84,0318-zopws,female,0,1,0,49,1,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,1,bank_transfer_(automatic),20.15,973.35,0
85,4445-zjnmu,male,0,0,0,9,1,yes,fiber_optic,no,yes,no,no,yes,yes,month-to-month,1,credit_card_(automatic),99.3,918.75,0
86,4808-ynleu,female,0,1,0,35,1,no,dsl,yes,no,no,no,yes,no,one_year,1,bank_transfer_(automatic),62.15,2215.45,0
87,1862-qrwpe,female,0,1,1,48,1,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,0,bank_transfer_(automatic),20.65,1057.0,0
88,2796-nnufi,female,0,1,1,46,1,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,1,mailed_check,19.95,927.1,0
89,3016-ksvcp,male,0,1,0,29,0,no_phone_service,dsl,no,no,no,no,yes,no,month-to-month,0,mailed_check,33.75,1009.25,0
90,4767-hzzhq,male,0,1,1,30,1,no,fiber_optic,no,yes,yes,no,no,no,month-to-month,0,bank_transfer_(automatic),82.05,2570.2,0
91,2424-wvhpl,male,1,0,0,1,1,no,fiber_optic,no,no,no,yes,no,no,month-to-month,0,electronic_check,74.7,74.7,0
92,7233-pahhl,male,0,1,1,66,1,yes,dsl,yes,no,yes,yes,yes,yes,two_year,1,mailed_check,84.0,5714.25,0
93,6067-ngceu,female,0,0,0,65,1,yes,fiber_optic,yes,yes,yes,no,yes,yes,month-to-month,1,credit_card_(automatic),111.05,7107.0,0
94,9848-jqjtx,male,0,0,0,72,1,yes,fiber_optic,no,yes,yes,no,yes,yes,two_year,1,bank_transfer_(automatic),100.9,7459.05,0
95,8637-xjivr,female,0,0,0,12,1,yes,fiber_optic,yes,no,no,no,no,no,month-to-month,1,electronic_check,78.95,927.35,1
96,9803-ftjcg,male,0,1,1,71,1,yes,dsl,yes,yes,no,yes,no,no,one_year,1,credit_card_(automatic),66.85,4748.7,0
97,0278-yxoog,male,0,0,0,5,1,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,0,mailed_check,21.05,113.85,1
98,3212-kxocr,male,0,0,0,52,1,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,0,bank_transfer_(automatic),21.0,1107.2,0
99,4598-xlknj,female,1,1,0,25,1,no,fiber_optic,no,yes,yes,no,yes,yes,month-to-month,1,electronic_check,98.5,2514.5,1
100,6380-arceh,male,0,0,0,1,1,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,0,mailed_check,20.2,20.2,0
101,3679-xaspy,female,0,1,1,1,1,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,0,electronic_check,19.45,19.45,0
102,7123-wquhx,male,0,0,0,38,1,yes,fiber_optic,no,no,yes,yes,yes,no,one_year,0,bank_transfer_(automatic),95.0,3605.6,0
103,5386-thslq,female,1,1,0,66,0,no_phone_service,dsl,no,yes,yes,no,yes,no,one_year,0,bank_transfer_(automatic),45.55,3027.25,0
104,3192-nqeca,male,0,1,0,68,1,yes,fiber_optic,no,yes,yes,yes,yes,yes,two_year,1,bank_transfer_(automatic),110.0,7611.85,1
105,6180-ybiqi,male,0,0,0,5,0,no_phone_service,dsl,no,no,no,no,no,no,month-to-month,0,mailed_check,24.3,100.2,0
106,6728-dkuco,female,0,1,1,72,1,yes,fiber_optic,yes,yes,no,no,yes,yes,one_year,1,electronic_check,104.15,7303.05,0
107,9750-boohv,female,0,0,0,32,0,no_phone_service,dsl,yes,no,no,no,no,no,one_year,0,mailed_check,30.15,927.65,0
108,8597-cwyhh,male,0,0,0,43,1,yes,fiber_optic,no,no,no,no,yes,yes,one_year,0,mailed_check,94.35,3921.3,0
109,2848-yxsmw,male,0,1,1,72,1,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,0,credit_card_(automatic),19.4,1363.25,0
110,0486-heczi,male,0,1,0,55,1,yes,fiber_optic,yes,yes,no,no,yes,no,month-to-month,1,electronic_check,96.75,5238.9,1
111,4549-zdqyy,female,0,0,0,52,1,no,dsl,yes,no,yes,yes,no,no,one_year,0,credit_card_(automatic),57.95,3042.25,0
112,5712-ahqnn,female,0,0,0,43,1,no,fiber_optic,no,yes,yes,no,yes,no,month-to-month,1,electronic_check,91.65,3954.1,0
113,4846-whafz,female,1,1,0,37,1,yes,fiber_optic,no,no,no,no,no,no,month-to-month,1,electronic_check,76.5,2868.15,1
114,5256-skjgo,female,0,1,1,64,0,no_phone_service,dsl,no,yes,no,yes,yes,yes,two_year,1,electronic_check,54.6,3423.5,0
115,3071-vbypo,male,0,1,1,3,1,no,fiber_optic,yes,yes,no,no,yes,no,month-to-month,0,electronic_check,89.85,248.4,0
116,9560-bbzxk,female,0,0,0,36,0,no_phone_service,dsl,yes,no,no,no,no,no,two_year,0,bank_transfer_(automatic),31.05,1126.35,0
117,5299-ruloa,female,0,1,1,10,1,yes,fiber_optic,yes,no,no,no,yes,yes,month-to-month,1,electronic_check,100.25,1064.65,1
118,8402-ooohj,female,0,0,0,41,1,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,0,mailed_check,20.65,835.15,0
119,9445-zueqe,male,0,1,1,27,1,yes,fiber_optic,no,yes,no,yes,no,no,month-to-month,1,credit_card_(automatic),85.2,2151.6,0
120,1091-sozga,female,0,1,1,56,1,yes,fiber_optic,no,no,yes,no,yes,yes,one_year,1,credit_card_(automatic),99.8,5515.45,0
121,2928-hldba,female,0,0,0,6,1,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,0,mailed_check,20.7,112.75,0
122,0404-swrvg,male,0,0,0,3,1,yes,fiber_optic,no,no,no,no,no,no,month-to-month,1,electronic_check,74.4,229.55,1
123,6497-tilvl,female,0,1,1,7,1,no,dsl,yes,no,no,no,no,no,month-to-month,0,mailed_check,50.7,350.35,0
124,7219-tlzho,female,0,1,1,4,1,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,0,mailed_check,20.85,62.9,0
125,4622-ynkij,male,0,0,0,33,1,no,fiber_optic,yes,no,no,yes,yes,no,two_year,1,electronic_check,88.95,3027.65,0
126,4412-yltkf,female,1,0,0,27,1,yes,fiber_optic,no,no,yes,no,no,no,month-to-month,1,electronic_check,78.05,2135.5,1
127,6734-psbaw,male,0,1,0,72,1,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,1,bank_transfer_(automatic),23.55,1723.95,0
128,3930-zgwve,male,0,0,0,1,1,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,0,mailed_check,19.75,19.75,0
129,2639-ugmaz,male,1,0,0,71,0,no_phone_service,dsl,yes,yes,no,no,yes,yes,one_year,1,electronic_check,56.45,3985.35,0
130,2876-gzyzc,female,0,0,0,13,1,yes,fiber_optic,no,no,no,no,no,yes,month-to-month,1,electronic_check,85.95,1215.65,0
131,6207-wiolx,female,0,1,1,25,0,no_phone_service,dsl,yes,yes,yes,no,yes,yes,month-to-month,1,credit_card_(automatic),58.6,1502.65,1
132,8587-xyzsf,male,0,0,0,67,1,no,dsl,no,no,no,yes,no,no,two_year,0,bank_transfer_(automatic),50.55,3260.1,0
133,3091-fyhki,male,0,0,0,1,0,no_phone_service,dsl,no,no,no,no,no,yes,month-to-month,1,electronic_check,35.45,35.45,1
134,2372-hwuhi,male,0,0,0,2,1,no,dsl,no,no,no,no,no,no,month-to-month,0,electronic_check,44.35,81.25,1
135,7799-lgrdp,female,0,0,0,43,1,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,1,credit_card_(automatic),25.7,1188.2,0
136,7850-vwjuu,female,0,0,0,23,1,no,fiber_optic,yes,no,no,no,no,no,month-to-month,1,bank_transfer_(automatic),75.0,1778.5,0
137,3774-vbnxy,female,0,1,1,64,1,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,0,mailed_check,20.2,1277.75,0
138,6217-kdywc,male,0,0,1,57,1,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,1,mailed_check,19.6,1170.55,0
139,0390-dcfdq,female,1,1,0,1,1,no,fiber_optic,no,no,no,no,no,no,month-to-month,1,mailed_check,70.45,70.45,1
140,3146-msegf,female,1,1,1,72,1,yes,dsl,yes,yes,yes,yes,yes,yes,two_year,1,credit_card_(automatic),88.05,6425.65,0
141,4080-ogpjl,female,0,0,0,8,1,yes,dsl,yes,no,no,yes,no,yes,month-to-month,0,electronic_check,71.15,563.65,1
142,1095-wgngg,female,0,1,0,61,1,yes,fiber_optic,no,yes,no,no,yes,yes,two_year,1,bank_transfer_(automatic),101.05,5971.25,0
143,2636-sjdou,male,0,0,0,64,1,yes,fiber_optic,yes,yes,no,no,no,no,one_year,1,credit_card_(automatic),84.3,5289.05,0
144,1131-qqzeb,male,1,1,0,71,1,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,0,bank_transfer_(automatic),23.95,1756.2,0
145,5716-ezxzn,female,0,1,1,65,1,yes,fiber_optic,yes,yes,no,yes,yes,no,two_year,1,credit_card_(automatic),99.05,6416.7,0
146,6837-bjydq,male,0,0,0,3,1,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,0,mailed_check,19.6,61.35,0
147,2135-rxihg,male,0,0,0,1,1,no,dsl,no,no,no,no,no,no,month-to-month,1,electronic_check,45.65,45.65,1
148,6440-dkqge,male,0,0,1,30,1,no,dsl,no,yes,yes,no,yes,no,one_year,0,credit_card_(automatic),64.5,1929.95,0
149,3466-byavd,male,0,1,1,15,1,no,dsl,no,yes,yes,yes,no,yes,month-to-month,1,mailed_check,69.5,1071.4,0
150,3780-yvmfa,female,0,1,1,8,1,no,dsl,no,no,no,yes,yes,yes,month-to-month,1,electronic_check,68.55,564.35,0
151,3874-eqoep,male,0,0,0,7,1,yes,fiber_optic,no,no,no,no,yes,yes,month-to-month,0,mailed_check,95.0,655.5,1
152,1679-jrfbr,female,0,1,1,70,1,yes,fiber_optic,yes,yes,yes,no,yes,yes,one_year,1,credit_card_(automatic),108.15,7930.55,0
153,9073-zziay,male,0,1,1,62,1,no,dsl,yes,yes,yes,yes,yes,yes,two_year,0,electronic_check,86.1,5215.25,0
154,3077-rsntj,female,0,1,1,6,1,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,0,mailed_check,19.7,113.5,0
155,6551-gnydg,female,0,1,1,14,1,no,fiber_optic,no,no,no,no,no,yes,month-to-month,1,bank_transfer_(automatic),80.9,1152.8,0
156,9167-apmxz,female,0,0,0,22,1,yes,fiber_optic,no,no,no,no,yes,no,month-to-month,1,bank_transfer_(automatic),84.15,1821.95,0
157,2749-ctkaj,male,0,1,1,22,1,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,0,mailed_check,20.15,419.9,0
158,6371-nzyeg,male,0,1,1,16,1,no,dsl,yes,no,yes,no,yes,no,two_year,0,mailed_check,64.25,1024.0,0
159,7554-newdd,male,0,0,0,10,1,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,0,bank_transfer_(automatic),25.7,251.6,0
160,8992-vonjd,female,0,0,1,13,1,no,dsl,yes,yes,no,no,no,no,month-to-month,1,electronic_check,56.0,764.55,0
161,0867-mkzvy,female,0,1,0,20,1,yes,fiber_optic,yes,no,no,no,no,no,month-to-month,0,electronic_check,82.4,1592.35,1
162,4482-ewfmi,female,0,0,0,2,1,no,fiber_optic,no,no,no,no,no,no,month-to-month,1,electronic_check,69.7,135.2,0
163,4648-ypbtm,male,0,0,0,53,1,yes,dsl,no,yes,yes,yes,no,yes,two_year,1,bank_transfer_(automatic),73.9,3958.25,0
164,2907-iljbn,female,0,1,1,11,1,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,0,mailed_check,20.6,233.9,0
165,6345-fzoqh,male,0,1,0,69,1,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,0,mailed_check,19.9,1363.45,0
166,3376-bmgfe,female,0,0,0,4,1,no,fiber_optic,no,no,no,no,no,no,month-to-month,1,bank_transfer_(automatic),70.9,273.0,1
167,5997-opvfa,male,0,1,0,72,1,yes,dsl,yes,yes,yes,yes,yes,yes,two_year,1,bank_transfer_(automatic),89.05,6254.45,0
168,3445-hxxgf,male,1,1,0,58,0,no_phone_service,dsl,no,yes,yes,no,no,yes,month-to-month,1,electronic_check,45.3,2651.2,1
169,1159-wfsgr,female,0,1,1,16,1,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,0,electronic_check,20.4,321.4,0
170,7654-ywjuf,male,0,1,0,43,1,no,fiber_optic,yes,no,yes,yes,no,no,one_year,1,bank_transfer_(automatic),84.25,3539.25,0
171,1875-qivme,female,0,1,0,2,1,yes,fiber_optic,no,no,yes,yes,yes,yes,month-to-month,1,electronic_check,104.4,242.8,1
172,6727-iotlz,male,0,1,0,14,1,no,dsl,no,yes,yes,yes,yes,yes,two_year,0,mailed_check,81.95,1181.75,0
173,0691-jvsya,female,0,1,0,53,1,no,fiber_optic,no,no,yes,no,yes,yes,one_year,1,bank_transfer_(automatic),94.85,5000.2,1
174,5918-vukwp,female,0,0,0,32,1,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,0,bank_transfer_(automatic),20.55,654.55,0
175,1744-jhkys,female,0,1,0,34,1,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,0,electronic_check,24.7,780.2,0
176,2656-fmokz,female,1,0,0,15,1,yes,fiber_optic,no,no,no,no,no,no,month-to-month,1,mailed_check,74.45,1145.7,1
177,2070-fnexe,female,1,0,0,7,1,no,fiber_optic,yes,no,no,no,no,no,month-to-month,0,bank_transfer_(automatic),76.45,503.6,1
178,5947-sgkcl,female,0,1,1,15,1,yes,fiber_optic,no,yes,yes,no,yes,yes,month-to-month,1,bank_transfer_(automatic),105.35,1559.25,0
179,3712-pkxza,male,0,1,0,61,1,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,1,credit_card_(automatic),20.55,1252.0,0
